Merk,Tipe,Ram,Internal,Harga_Beli,Bln_Beli,Thn_Beli,Tgl_Beli,Tgl_Datang,Kondisi,Keterangan_Kondisi,Status,Refund,Tgl_Laku,Keterangan_Jual,Harga_Jual,Biaya_Tambahan,Keterangan_Biaya_Tambahan
Oppo,F7,4,64,743000,4,2022,4/27/2022,4/30/2022,Normal,-,Terjual,-,5/2/2022,Batangan,900000,0,-
Samsung,A03S,4,64,1160000,4,2022,4/27/2022,4/29/2022,Normal,-,Terjual,-,5/5/2022,Batangan,1250000,0,-
Samsung,A11,3,32,806000,4,2022,4/28/2022,4/30/2022,Normal,-,Terjual,-,5/4/2022,With Charger,1100000,40000,Charger
Xiaomi,Redmi Note 7,4,64,1060000,4,2022,4/28/2022,4/30/2022,Normal,-,Terjual,-,5/4/2022,Batangan,1200000,0,-
Oppo,A31,4,128,1224000,5,2022,5/6/2022,5/10/2022,Cacat,Layar ada titik di bagian tengah,Refund,Success,5/14/2022,Refund,1224000,23000,Ongkir
Samsung,A21S,3,32,1223000,5,2022,5/6/2022,5/10/2022,Normal,-,Terjual,-,5/12/2022,With Box + Charger,1400000,40000,Charger
Samsung,M21,4,64,1347000,5,2022,5/7/2022,5/10/2022,Normal,-,Terjual,-,5/12/2022,With Box + Charger,1500000,0,-
Vivo,Y91 (Y93 2019),2,16,607000,5,2022,5/7/2022,5/10/2022,Cacat,Layar retak di bagian pinggir,Refund,Success,5/23/2022,Refund,607000,15000,Ongkir
Samsung,M30S,4,64,1242000,5,2022,5/15/2022,5/19/2022,Cacat,Layar sentuh susah,Refund,Success,5/30/2022,Refund ,1242000,15000,Ongkir
Samsung,A03S,4,64,1169000,5,2022,5/18/2022,5/20/2022,Cacat,Layar shadow,Refund,Success,31/5/2022,Refund,1169000,15000,Ongkir
Oppo,A15,3,32,958000,5,2022,5/18/2022,5/20/2022,Normal,-,Terjual,-,5/31/2022,With Charger,1150000,40000,Charger
Samsung,A21S,4,64,1250000,5,2022,5/27/2022,5/30/2022,Cacat,Layar poal pinggir di bagian kiri atas,Refund,Tuker Barang,7/30/2022,"Tuker barang dengan ram 3, internal 32",1250000,15000,Ongkir
Samsung,A7 2018,4,64,974000,5,2022,5/31/2022,6/2/2022,Cacat,"Layar retak, Casing belakang mbuka",Refund,Reject,6/30/2022,Batangan,930000,15000,Ongkir
Realme,Realme 3,3,64,957000,6,2022,6/4/2022,6/7/2022,Cacat,"Layar error, sentuh mblandrang",Refund,Success,6/18/2022,Refund,957000,15000,Charger
Samsung,J4+,2,32,581000,6,2022,6/4/2022,6/7/2022,Normal,-,Terjual,-,7/21/2022,With Charger,700000,35000,Charger
Oppo,A5S,3,32,840000,6,2022,6/7/2022,6/10/2022,Cacat,"Mesin eMMC bermasalah dan bootloop",Terjual,-,8/23/2022,Batangan,900000,450000,Service eMMC
