Merk,Tipe,Ram,Internal,Harga_Beli,Kondisi,Keterangan_Kondisi,Status,Refund,Tgl_Laku,Keterangan_Jual,Harga_Jual,Biaya_Tambahan,Keterangan_Biaya_Tambahan
Samsung,J2,,,570000,,,Terjual,,17/01/2019,,650000,,
Samsung,J3,,,710000,,,Refund,,,,710000,25000,Ongkir
Oppo,F1S,,,1070000,,,Terjual,,18/01/2019,,1250000,30000,Charger
Samsung,J5,,,910000,,,Terjual,,19/01/2019,,1050000,,
Samsung,Note 3,,,515000,,,Terjual,,20/01/2019,,670000,,
Oppo,F1,,,810000,,,Terjual,,21/01/2019,,1000000,30000,Charger
Oppo,F1S,,,1020000,,,Terjual,,21/01/2019,,1200000,30000,Charger
Oppo,F1S,,,1020000,,,Terjual,,22/01/2019,,1200000,,
Oppo,F1S,,,715000,,,Terjual,,23/01/2019,,1020000,30000,Charger
Oppo,A37,,,780000,,,Terjual,,25/01/2019,,895000,,
Oppo,A37,,,660000,,,Refund,,,,660000,25000,Ongkir
Oppo,F1,,,810000,,,Refund,,28/01/2019,,810000,,
Samsung,J5,,,910000,,,Terjual,,29/01/2019,,1000000,,
Oppo,F1S,,,1020000,,,Terjual,,1/2/2019,,1250000,30000,Charger
Asus,Zenfone 4 Max,,,1050000,,,Refund,,1/2/2019,,1050000,25000,Ongkir
Xiaomi,Redmi 3S,,,730000,,,Terjual,,4/2/2019,,880000,,
Oppo,A39,,,910000,,,Terjual,,7/2/2019,,1100000,35000,Charger
Lenovo,Vibe K5 Plus,,,564000,,,Terjual,,12/2/2019,,660000,,
Oppo,F1S,,,1015000,,,Terjual,,12/2/2019,,730000,,
Xiaomi,Redmi 4X,,,440000,,,Refund,,12/2/2019,,440000,25000,Ongkir
Oppo,F1S,,,1020000,,,Terjual,,13/02/2019,,1200000,,
Oppo,F1S,,,1020000,,,Terjual,,14/02/2019,,1200000,25000,Charger
Samsung,A5,,,724000,,,Terjual,,18/02/2019,,850000,,
Oppo,F1,,,810000,,,Terjual,,18/02/2019,,1015000,,
Oppo,F1S,,,1020000,,,Terjual,,18/02/2019,,1250000,,
Oppo,A37,,,660000,,,Terjual,,19/02/2019,,870000,,
Samsung,A39,,,910000,,,Terjual,,20/02/2019,,1030000,,
Oppo,F1S,,,1020000,,,Terjual,,22/02/2019,,1200000,,
Oppo,F1S,,,1020000,,,Terjual,,22/02/2019,,1250000,25000,Charger
Oppo,F1S,,,1020000,,,Terjual,,25/02/2019,,1200000,25000,Charger
Xiaomi,Note 3,,,760000,,,Terjual,,25/02/2019,,1000000,25000,Charger
Oppo,F1S,,,1020000,,,Terjual,,25/02/2019,,1300000,,
Oppo,A57,,,908000,,,Terjual,,26/02/2019,,1100000,,
Xiaomi,Redmi 3S,,,730000,,,Terjual,,27/02/2019,,820000,,
Oppo,A37,,,660000,,,Terjual,,28/02/2019,,900000,25000,Charger
Oppo,A37,,,660000,,,Terjual,,28/02/2019,,870000,25000,Charger
Samsung,J2 Prime,,,620000,,,Terjual,,1/3/2019,,800000,25000,Charger
Samsung,J2 Prime,,,620000,,,Terjual,,4/3/2019,,800000,25000,Charger
Samsung,J2 Prime,,,620000,,,Terjual,,5/3/2019,,800000,25000,Charger
Samsung,J2 Prime,,,620000,,,Terjual,,8/3/2019,,700000,25000,Charger
Xiaomi,Redmi 4a,,,590000,,,Terjual,,11/3/2019,,810000,25000,Charger
Oppo,A37,,,660000,,,Terjual,,11/3/2019,,870000,,
Xiaomi,Redmi 3S,,,690000,,,Terjual,,13/03/2019,,820000,,
Samsung,J2 Prime,,,620000,,,Refund,,13/03/2019,,620000,25000,Ongkir
Oppo,F1,,,602000,,,Terjual,,14/03/2019,,970000,25000,Charger
Oppo,A37,,,660000,,,Terjual,,15/03/2019,,810000,,
Oppo,A37,,,660000,,,Terjual,,18/03/2019,,840000,,
Oppo,A39,,,850000,,,Terjual,,18/03/2019,,1050000,25000,Charger
Oppo,A37,,,660000,,,Terjual,,21/03/2019,,835000,,
Oppo,A37,,,660000,,,Terjual,,21/03/2019,,850000,,
Oppo,A37,,,660000,,,Terjual,,22/03/2019,,800000,,
Oppo,A37,,,660000,,,Terjual,,22/03/2019,,850000,,
Xiaomi,Redmi 3S,,,690000,,,Terjual,,25/03/2019,,880000,25000,Charger
Oppo,A37,,,660000,,,Terjual,,25/03/2019,,800000,,
Oppo,A37,,,660000,,,Terjual,,26/03/2019,,880000,,
Oppo,A37,,,660000,,,Terjual,,26/03/2019,,800000,,
Samsung,J5 Pro,,,1048000,,,Terjual,,28/03/2019,,1050000,,
Oppo,A39,,,850000,,,Terjual,,1/4/2019,,1050000,25000,Charger
Oppo,A57,,,980000,,,Terjual,,2/4/2019,,1200000,25000,Charger
Oppo,A37,,,660000,,,Terjual,,2/4/2019,,800000,,
Oppo,A37,,,660000,,,Terjual,,4/4/2019,,800000,,
Oppo,A39,,,850000,,,Terjual,,5/4/2019,,1050000,,
Xiaomi,Redmi 4a,,,590000,,,Terjual,,5/4/2019,,720000,,
Oppo,A37,,,660000,,,Terjual,,8/4/2019,,850000,25000,Charger
Oppo,A37,,,660000,,,Terjual,,9/4/2019,,870000,25000,Charger
Oppo,A37,,,660000,,,Terjual,,11/4/2019,,850000,25000,Charger
Oppo,A37,,,660000,,,Terjual,,12/4/2019,,800000,,
Oppo,A39,,,850000,,,Terjual,,12/4/2019,,1000000,,
Lenovo,P1m,,,450000,,,Terjual,,24/4/2019,,550000,,
Xiaomi,Redmi 3S,,,710000,,,Terjual,,19/5/2019,,850000,25000,Charger
Asus,Zenfone Live,,,621000,,,Refund,,20/5/2019,,621000,30000,Ongkir
